country_region,infection_rate
Qatar,3.9921575750452756
French Guiana,2.7145648579588157
Bahrain,2.5130239079751258
San Marino,2.0596381637102956
Chile,1.9164810228284688
Panama,1.652703989232825
Kuwait,1.6378443167538763
Oman,1.5769043963734304
USA,1.5193862960518527
Vatican City,1.4981273408239701
