date,new_deaths,previous_day_deaths,death_growth_percentage
2020-01-22,0,,0.0
2020-01-23,1,17.0,5.88235294117647
2020-01-24,8,18.0,44.44444444444444
2020-01-25,16,26.0,61.53846153846154
2020-01-26,14,42.0,33.33333333333333
2020-01-27,26,56.0,46.42857142857143
2020-01-28,49,82.0,59.756097560975604
2020-01-29,2,131.0,1.5267175572519083
2020-01-30,38,133.0,28.57142857142857
2020-01-31,42,171.0,24.561403508771928
2020-02-01,46,213.0,21.5962441314554
2020-02-02,103,259.0,39.768339768339764
2020-02-03,64,362.0,17.67955801104972
2020-02-04,66,426.0,15.492957746478872
2020-02-05,72,492.0,14.634146341463413
2020-02-06,70,564.0,12.411347517730496
2020-02-07,85,634.0,13.406940063091483
2020-02-08,87,719.0,12.100139082058414
2020-02-09,100,806.0,12.40694789081886
2020-02-10,107,906.0,11.810154525386315
2020-02-11,100,1013.0,9.871668311944719
2020-02-12,5,1113.0,0.44923629829290207
2020-02-13,253,1118.0,22.62969588550984
2020-02-14,152,1371.0,11.086797957695113
2020-02-15,143,1523.0,9.389363099146422
2020-02-16,104,1666.0,6.24249699879952
2020-02-17,98,1770.0,5.536723163841808
2020-02-18,140,1868.0,7.494646680942184
2020-02-19,115,2008.0,5.727091633466135
2020-02-20,123,2123.0,5.7936881771078665
2020-02-21,4,2246.0,0.17809439002671415
2020-02-22,207,2250.0,9.2
2020-02-23,10,2457.0,0.40700040700040696
2020-02-24,160,2467.0,6.4856100526955816
2020-02-25,80,2627.0,3.0452988199467073
2020-02-26,60,2707.0,2.2164758034724787
2020-02-27,43,2767.0,1.554029634983737
2020-02-28,57,2810.0,2.0284697508896796
2020-02-29,69,2867.0,2.406696895709801
2020-03-01,54,2936.0,1.8392370572207086
2020-03-02,89,2990.0,2.976588628762542
2020-03-03,75,3079.0,2.4358557973367976
2020-03-04,95,3154.0,3.0120481927710845
2020-03-05,93,3249.0,2.862419205909511
2020-03-06,112,3342.0,3.3512866546977853
2020-03-07,99,3454.0,2.8662420382165608
2020-03-08,244,3553.0,6.867435969603153
2020-03-09,184,3797.0,4.845930998156439
2020-03-10,279,3981.0,7.008289374529013
2020-03-11,344,4260.0,8.075117370892018
2020-03-12,305,4604.0,6.624674196350999
2020-03-13,497,4909.0,10.124261560399267
2020-03-14,417,5406.0,7.713651498335183
2020-03-15,641,5823.0,11.008071440838057
2020-03-16,680,6464.0,10.51980198019802
2020-03-17,804,7144.0,11.254199328107504
2020-03-18,897,7948.0,11.285858077503775
2020-03-19,1106,8845.0,12.504239683436971
2020-03-20,1478,9951.0,14.852778615214552
2020-03-21,1705,11429.0,14.918190567853706
2020-03-22,1697,13134.0,12.920663925689052
2020-03-23,1917,14831.0,12.92562875058998
2020-03-24,2268,16748.0,13.541915452591354
2020-03-25,2777,19016.0,14.603491796381995
2020-03-26,3007,21793.0,13.79800853485064
2020-03-27,3518,24800.0,14.18548387096774
2020-03-28,3679,28318.0,12.991736704569531
2020-03-29,3473,31997.0,10.854142575866488
2020-03-30,4164,35470.0,11.739498167465463
2020-03-31,4844,39634.0,12.221829742140585
