country_region,recovery_rate
Serbia,0.0
Mozambique,0.0
Syria,0.0
Timor-Leste,0.0
Sweden,0.0
Canada,0.0
Netherlands,0.35384644187744557
United Kingdom,0.47628833176448754
Namibia,5.480195333695062
Botswana,8.525033829499323
